t_prep,initial,final
   0.50000,1,1
   0.50000,1,0
   0.50000,1,1
   0.50000,1,0
   0.50000,1,1
   0.50000,1,0
   0.26667,1,0
   0.50000,1,1
   0.45000,1,0
   0.50000,1,1
   0.50000,1,1
   0.50000,1,1
   0.45000,1,0
   0.50000,1,1
   0.50000,1,1
   0.50000,1,1
   0.50000,1,1
   0.50000,1,1
   0.18333,1,0
   0.50000,1,1
   0.31667,1,0
   0.25000,1,0
   0.50000,1,1
   0.50000,1,1
   0.50000,1,1
   0.50000,1,1
   0.50000,1,1
   0.11667,1,0
   0.50000,1,1
   0.43333,1,0
   0.50000,1,1
   0.50000,1,1
   0.50000,1,1
   0.23333,1,0
   0.21667,1,0
   0.50000,1,1
   0.50000,1,1
   0.50000,1,0
   0.50000,1,1
   0.50000,1,1
   0.50000,1,1
   0.50000,1,1
   0.50000,1,1
   0.15000,1,0
   0.50000,1,1
   0.50000,1,1
   0.50000,1,1
   0.36667,1,0
   0.50000,1,1
   0.50000,1,1
   0.41667,1,0
   0.50000,1,1
   0.50000,1,1
   0.30000,1,0
   0.50000,1,1
   0.43333,1,0
   0.50000,1,1
   0.08333,1,0
   0.33333,1,0
   0.35000,1,0
   0.50000,1,1
   0.50000,1,1
   0.50000,1,1
   0.05000,1,0
   0.50000,1,1
   0.50000,1,1
   0.50000,1,1
   0.50000,1,0
   0.50000,1,1
   0.50000,1,1
   0.50000,1,1
   0.50000,1,1
   0.50000,1,1
   0.16667,1,0
   0.46667,1,0
   0.50000,1,1
   0.50000,1,1
   0.50000,1,1
   0.50000,1,1
   0.38333,1,0
   0.50000,1,1
   0.50000,1,1
   0.50000,1,1
   0.06667,1,0
   0.50000,1,1
   0.13333,1,0
   0.50000,1,1
   0.20000,1,0
   0.50000,1,1
   0.10000,1,0
   0.41667,1,0
   0.50000,1,1
   0.50000,1,1
   0.28333,1,0
   0.48333,1,0
   0.50000,1,1
   0.50000,1,1
   0.50000,1,1
   0.40000,1,0
   0.48333,1,0
   0.50000,1,1
   0.50000,1,1
   0.50000,1,1
   0.50000,1,1
   0.50000,1,1
   0.46667,1,0
