initial,final,t_prep
1,1,0.4
1,0,0.4
1,1,0.4
1,0,0.4
1,1,0.133333333
1,1,0.133333333
1,1,0.283333333
1,1,0.1
1,0,0.183333333
1,0,0.316666667
1,1,0.466666667
1,1,0.116666667
1,1,0.316666667
1,0,0.383333333
1,0,0.3
1,0,0.416666667
1,1,0.133333333
1,1,0.166666667
1,1,0.316666667
1,1,0.3
1,1,0.233333333
1,0,0.433333333
1,1,0.166666667
1,0,0.1
1,0,0.05
1,1,0.183333333
1,0,0.283333333
1,1,0.216666667
1,0,0.216666667
1,1,0.183333333
1,1,0.05
1,1,0.183333333
1,1,0.25
1,0,0.25
1,0,0.283333333
1,1,0.166666667
1,1,0.233333333
1,1,0.166666667
1,0,0.166666667
1,1,0.233333333
1,0,0.466666667
1,1,0.283333333
1,0,0.316666667
1,1,0.216666667
1,1,0.1
1,1,0.166666667
1,1,0.35
1,1,0.183333333
1,1,0.166666667
1,1,0.166666667
1,1,0.166666667
1,1,0.25
1,1,0.183333333
1,1,0.183333333
1,0,0.35
1,1,0.233333333
1,1,0.3
1,1,0.116666667
1,0,0.3
1,0,0.166666667
1,1,0.183333333
1,1,0.166666667
1,0,0.25
1,1,0.316666667
1,1,0.183333333
1,1,0.316666667
1,0,0.166666667
1,1,0.183333333
1,0,0.183333333
1,0,0.25
1,0,0.116666667
1,1,0.183333333
1,1,0.316666667
1,0,0.233333333
1,0,0.233333333
1,0,0.1
1,0,0.133333333
1,1,0.183333333
1,1,0.116666667
1,0,0.05
1,1,0.416666667
1,1,0.233333333
1,0,0.166666667
1,1,0.166666667
1,0,0.1
1,1,0.166666667
1,0,0.1
1,1,0.116666667
1,1,0.25
1,0,0.166666667
1,0,0.066666667
1,1,0.116666667
1,1,0.216666667
1,1,0.25
1,0,0.116666667
1,0,0.1
1,1,0.316666667
1,1,0.183333333
1,0,0.316666667
1,0,0.233333333
1,0,0.066666667
1,0,0.1
1,0,0.133333333
1,1,0.316666667
